order_id,customer_id,date_of_purchase,nearest_warehouse,cart,order_price,delivery_charges,customer_latitude,customer_longitude,discount,order_total,season,is_premium_delivery,nearest_distance,customer_feedback,satisfied_customer
ORD218241,ID4716795508,2019-12-28,Richmond,"[('Lucent 330S', 2), ('iAssist Line', 2), ('Toshika 750', 2), ('Olivia x460', 2)]",18000,78.27,-37.8187631,144.95340359999997,5,17178.27,Summer,True,0.8774,universe express gold 2 this is actually olivia universe express gold 2 not a j3 has label on listing,False
ORD432015,ID0036823180,2019-09-29,Richmond,"[('iStream', 2), ('Toshika 750', 1), ('Olivia x460', 1)]",5845,77.53,-37.8196979,144.95149650000005,0,5922.53,Spring,False,0.8735,pretty sweet device pretty sweet device,True
ORD146369,ID5402876192,2019-09-13,Clayton,"[('Olivia x460', 1), ('Toshika 750', 2)]",9865,57.49,-37.8204535,144.9769006,10,8935.99,Spring,False,0.6786,"consulta? me interesa saber que sistema operativo trae, ya que no lo informa en el cataldo muchas gracias",False
ORD035570,ID6167229075,2019-08-21,Clayton,"[('Lucent 330S', 2), ('Olivia x460', 1)]",3685,50.65,-37.8205448,144.95745459999995,25,2814.4,Winter,False,1.0856,not unlocked at all not unlocked. do not buy,False
ORD022970,ID0589742841,2019-11-13,Richmond,"[('Alcon 10', 2), ('Thunder line', 1)]",20080,77.52,-37.82093270000001,144.95481619999995,5,19153.52,Spring,False,1.1443,"great alternative to a new contract would like a stronger battery, but a good phone in great shape for the price",True
ORD020255,ID0301537530,2019-05-27,Richmond,"[('Lucent 330S', 1), ('pearTV', 1), ('Toshika 750', 1)]",11860,65.61,-37.8192943,144.9458405,15,10146.61,Autumn,False,0.7449,great product at a great price. works as new. thank you,True
ORD315263,ID0581759708,2019-04-11,Richmond,"[('Olivia x460', 2), ('iStream', 1)]",2600,83.79,-37.8039459,144.93133730000002,5,2553.79,Autumn,True,1.6906,five stars i love it. it's perfect. arrived on time and its features are amazing. just as described.,True
ORD440540,ID1492350741,2019-12-06,Richmond,"[('Thunder line', 1), ('Candle Inferno', 1)]",2610,103.58,-37.8027001,144.9636274,0,2713.58,Summer,True,1.8312,acknowledgement a very good phone and i could not wanted more. the light is excellent and the camera is very good. the features excellent.,True
ORD024780,ID0588958236,2019-04-14,Clayton,"[('Olivia x460', 1), ('iStream', 2), ('iAssist Line', 2), ('Toshika 750', 2)]",14615,65.6,-37.80902620000001,144.972035,15,12488.35,Autumn,False,1.0873,what a deal cant believe i got this so cheap. perfect condition. everything works perfectly. what a great deal. world great with my verizon service,True
ORD021846,ID0207093570,2019-04-13,Docklands,"[('iStream', 2), ('Candle Inferno', 2)]",1160,66.42,-37.8043044,145.0075602,0,1226.42,Autumn,True,1.2558,"sucks! i have had so many problems and issues with this phone. i don't receive phone calls, texts come 20 minutes late and i've had problems accessing the internet. worst phone i've ever had.",False
ORD182574,ID0364845479,2019-12-08,Docklands,"[('iStream', 1), ('Universe Note', 1), ('pearTV', 2)]",16220,66.12,-37.8018354,144.980529,5,15475.12,Summer,False,1.5803,bluetooth problem got this alcon today. everything works flawless except for the fact that i cannot connect any of my bluetooth devices... sad.,False
ORD278447,ID0579999139,2019-04-01,Richmond,"[('pearTV', 1), ('Candle Inferno', 1), ('Universe Note', 1)]",10190,81.19,-37.8057182,144.93279280000004,25,7723.69,Autumn,True,1.4751,your shipping of this phone was fast. thank you. used it as a phone.,True
ORD200275,ID0634784033,2019-09-17,Richmond,"[('Olivia x460', 2), ('pearTV', 1), ('Universe Note', 1), ('iAssist Line', 1)]",14435,76.72,-37.8133004,144.9368938,0,14511.72,Spring,False,0.8975,good cell phone the rugby has had no shocks nor submersions to date. i expect it to tolerate extremes well.,True
ORD305597,ID0775942446,2019-01-18,Richmond,"[('Thunder line', 2), ('Candle Inferno', 2), ('pearTV', 2), ('Toshika 750', 2)]",26480,98.87,-37.8064775,144.9614999,15,22606.87,Summer,True,1.4444,phone note 5 this is one of olivia best phone of its time. the only bad thing about this phone is the battery life.,True
ORD466161,ID1883787542,2019-11-15,Richmond,"[('Thunder line', 2), ('Olivia x460', 2), ('Lucent 330S', 2)]",9270,81.6,-37.8252643,144.9477532,0,9351.6,Spring,False,1.4029,all good i love it,True
ORD446969,ID6231506317,2019-05-06,Clayton,"[('Lucent 330S', 2), ('Thunder line', 2), ('Alcon 10', 2), ('Toshika 750', 2)]",33360,78.21,-37.8242103,144.97018880000005,25,25098.21,Autumn,True,0.6276,five stars nice phone!! thanks!!,True
ORD286207,ID0591317288,2019-12-24,Clayton,"[('Candle Inferno', 1), ('Lucent 330S', 1), ('Toshika 750', 1), ('iStream', 2)]",6280,77.24,-37.8252803,144.95722450000005,0,6357.24,Summer,False,1.3148,perfecto el teléfono la camara,True
ORD115024,ID0377544324,2019-03-25,Richmond,"[('Lucent 330S', 1), ('Universe Note', 1), ('iStream', 1)]",4830,62.87,-37.8154224,144.9452062,0,4892.87,Autumn,False,0.3471,"five stars very good phone, and especially for the price. i love the big screen.",True
ORD193207,ID0576879089,2019-07-29,Clayton,"[('Toshika 750', 1), ('Lucent 330S', 1), ('pearTV', 1)]",11860,65.16,-37.8196423,144.97966100000005,5,11332.16,Winter,False,0.8966,i love it,True
ORD258257,ID0591435375,2019-03-14,Clayton,"[('Toshika 750', 1), ('Thunder line', 1), ('iAssist Line', 1)]",8725,75.85,-37.8174188,144.9688707,15,7492.1,Autumn,True,0.144,worked well! does not come with a nano sim ... worked well! does not come with a nano sim. i got it directly from verizon's!,True
ORD251601,ID0092150545,2019-03-18,Clayton,"[('pearTV', 2), ('Candle Inferno', 1), ('Lucent 330S', 2)]",15510,67.01,-37.8227358,144.95545819999995,25,11699.51,Autumn,True,1.3222,"many quirks this phone has been moderately reliable, but has many quirks that make it a little annoying to use. the back button has never worked, and i intermittently lose internet service which make group text messages come in individually. there are also weird web browsing issues such as screens appearing and disappearing inexplicably.",False
ORD055640,ID0202446054,2019-04-07,Richmond,"[('iStream', 2), ('pearTV', 2)]",12920,81.57,-37.803488,144.93646840000005,5,12355.57,Autumn,True,1.3837,five stars yes it's perfect thank you,True
ORD214315,ID0529157848,2019-08-09,Richmond,"[('Thunder line', 1), ('iStream', 2), ('Candle Inferno', 1), ('Universe Note', 2)]",9810,69.01,-37.8230927,144.9379385,10,8898.01,Winter,False,1.4107,"awesome phone/magic vr machine. gorgeous display. awesome phone/magic vr machine. gorgeous display. fragile and so easy to drop (i know, kind of a weird thing to say - but it's true). protect it and buy a squaretrade accident protection deal right away if you get an s7.",True
ORD432817,ID1681675858,2019-10-04,Clayton,"[('Lucent 330S', 2), ('Alcon 10', 2)]",20360,88.76,-37.810523,144.97605380000005,5,19430.76,Spring,True,1.0651,no way to charge the cell phone with charger the cell phone i received came packagef with a micro charger instead of a charger that would actually charge thenote 3 phone i purchased.,False
ORD276563,ID0310944919,2019-05-14,Docklands,"[('iStream', 2), ('Universe Note', 2), ('iAssist Line', 2)]",11650,50.68,-37.8039769,145.0028892,25,8788.18,Autumn,False,0.95,one star sprint could/would not activate it. they said it appeared to be flashed for international use. returned it.,False
ORD221510,ID2505811399,2019-02-12,Clayton,"[('Lucent 330S', 2), ('Thunder line', 2), ('Toshika 750', 1)]",11140,81.33,-37.8046273,144.96335569999997,0,11221.33,Summer,False,1.6475,perfect love,True
ORD481588,ID0248746954,2019-09-05,Docklands,"[('Alcon 10', 1), ('Olivia x460', 1)]",10175,78.83,-37.8186194,144.9920489,15,8727.58,Spring,False,0.9999,really happy with this purchase.  great speaker and easy to set up.,True
ORD158380,ID0036823171,2019-01-04,Richmond,"[('Universe Note', 2), ('pearTV', 2), ('Alcon 10', 1), ('Toshika 750', 1)]",32790,96.0,-37.822363,144.9502368,25,24688.5,Summer,True,1.114,five stars i got than i expect it's very good everything i order from digico is nice,True
ORD068271,ID0227316137,2019-06-03,Docklands,"[('Alcon 10', 1), ('Thunder line', 2), ('Candle Inferno', 2), ('Olivia x460', 2)]",16620,79.23,-37.803335,144.9899256,0,16699.23,Winter,True,0.8761,refurb this product seemed to be marketed as a new phone. it was received with an excessive amount of pocket lint filling the headphone jack. i am quite certain this is a refurb instead.,True
ORD342061,ID3961293507,2019-03-30,Clayton,"[('Lucent 330S', 2), ('Universe Note', 2), ('Olivia x460', 2)]",11810,52.08,-37.8082401,144.9632852,5,11271.58,Autumn,False,1.2776,"no android 10. fingerprint scanner will start acting up. battery goes dead too fast. no updates, or slow updates. after a year, still haven't seen anything about android 10. i don't see myself buying another xiaomi product again",False
ORD453094,ID2457712027,2019-02-03,Docklands,"[('Olivia x460', 1), ('Toshika 750', 1), ('pearTV', 2), ('Lucent 330S', 2)]",20625,101.51,-37.8037888,144.9780208,0,20726.51,Summer,True,1.664,"new olivia universe s7 edge beautiful cell phone, light weight, thin, good screen size, lots of functions. as soon i inserted the sim card it gat connected to my provider. its working fine",True
ORD279829,ID0767752170,2019-09-04,Clayton,"[('Olivia x460', 2), ('pearTV', 2), ('iStream', 2), ('Lucent 330S', 2)]",17830,86.56,-37.8008493,144.97009319999995,25,13459.06,Spring,False,1.976,it works well. this is a excellent inexpensive phone,True
ORD237824,ID0343315451,2019-01-13,Docklands,"[('Thunder line', 1), ('Lucent 330S', 1)]",3410,103.4,-37.82524,144.99408300000005,10,3172.4,Summer,True,1.6999,"i might have gotten a refurbished phone... functionally the phone is fine. however, the one i received had a long deep scratch in the back cover. it makes me wonder if this was a refurbished phone. i ordered a replacement and i'll see...",True
ORD013220,ID2209383408,2019-03-30,Richmond,"[('iStream', 1), ('Lucent 330S', 2), ('Alcon 10', 2)]",20510,71.87,-37.7926299,144.95848490000003,10,18530.87,Autumn,False,2.4467,works when it feels like it. has range and clarity issues on occasion. moved up to smart phone. no longer use it. good for very basic phone usage.,True
ORD390215,ID3797989290,2019-02-28,Richmond,"[('Universe Note', 1), ('pearTV', 2)]",16070,60.32,-37.8099209,144.93583999999996,15,13719.82,Summer,False,1.034,ok but i wouldn't go to the trouble of buying this again. all i get is the weather and some music and it's really a waste of money and time. even though siri is slow at least serious with me all the time and this rests on my desk or on the table top and that's about it,False
ORD126605,ID0316414091,2019-08-29,Richmond,"[('Thunder line', 2), ('Olivia x460', 1), ('Alcon 10', 2), ('Lucent 330S', 1)]",24715,52.64,-37.8086358,144.9600405,5,23531.89,Winter,False,1.2261,resulta que cuando abro la caja no viene el celular nada mas los puros audiculares que paso no me agrado que no venía el celular,False
ORD186431,ID0847531131,2019-05-16,Clayton,"[('pearTV', 1), ('Candle Inferno', 2), ('Toshika 750', 1), ('Olivia x460', 2)]",13940,77.67,-37.8222097,144.9678411,25,10532.67,Autumn,True,0.4296,great value great value phone with features i wanted. no complaints yet.,True
ORD178144,ID0310727778,2019-11-02,Richmond,"[('Thunder line', 1), ('Universe Note', 1), ('pearTV', 2), ('Candle Inferno', 2)]",19110,87.65,-37.8115487,144.9361249,15,16331.15,Spring,True,0.9706,teléfono s8+ defectuoso el tlf lo compre por que debería de ser nuevo pero no lo es por qué tiene la batería abombada y se le despegó la tapa de atrás y lo compre para un regalo ahora me hacen pasar esa pena y lo envie a venezuela ahora que solución ustedes me dan?,False
ORD065240,ID0746912605,2019-01-01,Clayton,"[('Universe Note', 1), ('Olivia x460', 1), ('Candle Inferno', 2), ('Thunder line', 2)]",9895,80.07,-37.8246047,144.98463130000005,15,8490.82,Summer,False,1.4852,"great! i needed better screen readability in direct sunlight ... so far, great! i needed better screen readability in direct sunlight - problem solved. the camera is also substantially better than the olivia nexus camera it replaces. and it's fast.",True
ORD095565,ID0577523565,2019-03-11,Clayton,"[('Candle Inferno', 1), ('Olivia x460', 2), ('Lucent 330S', 1)]",4110,65.49,-37.8243389,144.97417380000005,5,3969.99,Autumn,False,0.7577,love the thunder show,True
ORD247579,ID0575561752,2019-06-26,Clayton,"[('Toshika 750', 2), ('Alcon 10', 2), ('iStream', 1), ('Thunder line', 1)]",28870,53.83,-37.8241602,144.9803434,5,27480.33,Winter,False,1.1333,"two stars the battery is always hot whenever am charging, it is frustrating. bought it in may 2018",False
ORD105133,ID5884356140,2019-11-27,Richmond,"[('pearTV', 1), ('iStream', 1), ('Alcon 10', 2)]",24360,85.05,-37.82559420000001,144.9339725,0,24445.05,Spring,False,1.8426,"olivia universe note 3, black (verizon wireless) great phone .... great price. i have to admit i am still learning about it.. my previous phone was not nearly as sophisticated so theres a learning curve for me, but i'm having a blast. p.s.: the camera is awesome.",True
ORD227477,ID0575428634,2019-02-05,Clayton,"[('Universe Note', 2), ('iAssist Line', 2), ('Toshika 750', 1)]",15670,78.24,-37.81916,144.9847744,10,14181.24,Summer,False,1.3402,love my phone i was amazed by this phone really love it,True
ORD143913,ID0174801866,2019-10-22,Clayton,"[('pearTV', 1), ('Olivia x460', 1), ('Lucent 330S', 2), ('iStream', 2)]",10295,100.88,-37.815048,144.9652961,5,9881.13,Spring,True,0.544,what we liked most was actually seeing the words to song. least would be i guess i expected a little more from her than is currently available.,True
ORD269251,ID0207141367,2019-06-04,Richmond,"[('iStream', 2), ('Lucent 330S', 1), ('Alcon 10', 1), ('Toshika 750', 1)]",14800,67.89,-37.8243649,144.9541727,5,14127.89,Winter,False,1.4436,so glad to order a phone without all of the advertising ... so glad to order a phone without all of the advertising the cell phone companies preinstall.. bought it on gold day at a good price.,True
ORD428824,ID0095562831,2019-08-21,Richmond,"[('Thunder line', 2), ('Alcon 10', 2), ('Olivia x460', 2)]",24710,82.21,-37.80060570000001,144.9329271,5,23556.71,Winter,True,1.8307,fast delivery. the delivery aspect was so superb.,True
ORD388562,ID0581716579,2019-01-13,Richmond,"[('Thunder line', 2), ('pearTV', 2)]",16980,78.83,-37.805207,144.93288909999995,5,16209.83,Summer,False,1.4986,"bought this for my dad, he is 87. very easy to use and setup. he loves it and uses it 3/4 hours a day",True
ORD285790,ID1224854812,2019-06-18,Richmond,"[('Olivia x460', 2), ('Universe Note', 2)]",9350,63.65,-37.8132262,144.9405711,15,8011.15,Winter,False,0.5747,an excellent cell phone it exceeded my expectations.,True
ORD128275,ID2615827667,2019-04-28,Clayton,"[('Universe Note', 1), ('Thunder line', 1), ('Lucent 330S', 1), ('Alcon 10', 2)]",24760,79.89,-37.8072306,144.967816,10,22363.89,Autumn,True,1.2742,😍😍 love it,True
ORD132686,ID1964023962,2019-05-26,Richmond,"[('Olivia x460', 2), ('iStream', 2)]",2750,79.51,-37.8173159,144.9531882,15,2417.01,Autumn,True,0.7461,"great description! fast shipping, product matches description perfectly!",True
ORD452874,ID0777801657,2019-03-22,Richmond,"[('iAssist Line', 2), ('Universe Note', 2), ('Candle Inferno', 2)]",12210,67.94,-37.8055239,144.95512639999995,0,12277.94,Autumn,False,1.0656,five stars great device,True
ORD321391,ID4061053453,2019-07-17,Docklands,"[('pearTV', 2), ('Alcon 10', 1)]",21570,59.6,-37.8097638,144.9932051,10,19472.6,Winter,False,0.1801,"it works! metropcs initially had issues getting it added to my account, but i woke up the next morning and it was working fine. so, if anyone is wondering it does work on metropcs/t-mobile network! :) in the usa [i'm in st. louis, mo",True
ORD322327,ID6282174159,2019-07-27,Clayton,"[('Olivia x460', 1), ('Universe Note', 2), ('Alcon 10', 2), ('Candle Inferno', 2)]",26885,78.58,-37.8230804,144.97799519999995,25,20242.33,Winter,True,0.8948,"great phone, great price! bought it for my daughter for christmas and she loves it!",True
ORD184363,ID1492145822,2019-06-08,Richmond,"[('Alcon 10', 2), ('iAssist Line', 1)]",20125,59.26,-37.8128773,144.95267040000004,25,15153.01,Winter,True,0.4931,"this phone is awful battery life sucks; screen broke too easily with an otterbox case, proximity sensor is messed up. avoid!",False
ORD167578,ID0370750698,2019-05-16,Docklands,"[('Olivia x460', 2), ('Candle Inferno', 2)]",3310,64.45,-37.8133648,144.9884655,15,2877.95,Autumn,True,0.7034,one star this is the second phone i've gotten from this person and i am getting frustrated.,False
ORD395137,ID5864704367,2019-09-12,Docklands,"[('Alcon 10', 1), ('Universe Note', 2), ('Lucent 330S', 1)]",17080,103.28,-37.802443200000006,144.9915219,0,17183.28,Spring,True,0.9019,"its okay. does not have as many screens as my original note 3, which has 7 windows. this one only has 5",True
ORD157185,ID0778943230,2019-01-04,Docklands,"[('Lucent 330S', 2), ('iStream', 2), ('Toshika 750', 1), ('iAssist Line', 2)]",11530,88.96,-37.8198294,145.01440469999997,25,8736.46,Summer,True,2.0102,junk the volume control never worked. replacement sent and after 1 month white bar across the screen. was cheap but not worth it all the time wasted and we ended up buying an unused/unopened phone from another seller. customer service was good but product not.,False
ORD288724,ID4633638459,2019-05-05,Richmond,"[('Olivia x460', 1), ('Candle Inferno', 2)]",2085,78.1,-37.8061313,144.9441981,0,2163.1,Autumn,True,0.7708,"love to have meditation music, i use it as a morning alarm, just to mention few in general i love it",True
ORD108215,ID0233246902,2019-04-30,Docklands,"[('Thunder line', 2), ('iStream', 2), ('iAssist Line', 2), ('Toshika 750', 1)]",13430,54.4,-37.799192100000006,144.9865731,0,13484.4,Autumn,False,1.4235,"no sirve para ecuador no funciona en ecuador, porque no hay como homologarle, según las autoridades ecuatorianas es un modelo que debería venderse solo en china",False
ORD383876,ID0103301615,2019-11-16,Clayton,"[('Olivia x460', 2), ('Universe Note', 1)]",5900,75.19,-37.8157514,144.96172919999995,10,5385.19,Spring,False,0.7572,"excellent phone feels great in your hand, really like the size and feel. great phone and price",True
ORD286271,ID0581772990,2019-04-14,Richmond,"[('Universe Note', 2), ('Olivia x460', 1)]",8125,48.63,-37.81202929999999,144.944515,5,7767.38,Autumn,False,0.2358,this is the 4th bad smartphone i've ordered on line. this phone came with a dead battery; vendor had no replacement.,False
ORD335870,ID0709846561,2019-06-01,Richmond,"[('iAssist Line', 2), ('Alcon 10', 1)]",13400,61.57,-37.8148053,144.9448602,5,12791.57,Winter,False,0.3067,really quality product very easy to use,True
ORD391448,ID0248746934,2019-07-31,Docklands,"[('Alcon 10', 2), ('iAssist Line', 2), ('Olivia x460', 1)]",23575,67.78,-37.82337860000001,144.994316,15,20106.53,Winter,False,1.4919,"but a good solid phone a little fat and heavy, but a good solid phone.",True
ORD025469,ID0579485835,2019-09-16,Richmond,"[('Lucent 330S', 1), ('Thunder line', 2), ('iAssist Line', 1)]",7815,72.66,-37.8154991,144.9499257,5,7496.91,Spring,False,0.4026,olivia phone great phone for older version. came in new or new like condition. love my new battery since my old one was dying every 3 hours. it also comes with digico 3 month warranty. love my purchase.,True
ORD291881,ID0248746937,2019-03-18,Docklands,"[('Universe Note', 1), ('Lucent 330S', 1), ('iAssist Line', 1)]",6905,81.48,-37.825097,144.9928374,0,6986.48,Autumn,True,1.6941,purchased for my niece for a christmas gift. she loves it no complaints,True
ORD067726,ID0227330594,2019-08-21,Docklands,"[('Alcon 10', 2), ('Lucent 330S', 2), ('Universe Note', 2)]",27260,78.33,-37.8034568,144.9945629,25,20523.33,Winter,True,0.7303,. excellent,True
ORD180493,ID4342128129,2019-05-05,Clayton,"[('iAssist Line', 2), ('Universe Note', 2)]",11350,67.28,-37.8040745,144.9682994,10,10282.28,Autumn,True,1.6201,bad product it looks like it it been use already and the phone was not unlocked,False
ORD385999,ID0703556743,2019-10-09,Richmond,"[('Toshika 750', 1), ('Lucent 330S', 1), ('Thunder line', 1), ('Olivia x460', 1)]",8955,103.4,-37.8063166,144.9561207,15,7715.15,Spring,True,1.0651,i love it!!!,True
ORD469465,ID0224738431,2019-09-29,Docklands,"[('Universe Note', 2), ('Olivia x460', 1)]",8125,100.93,-37.8068758,144.9889895,15,7007.18,Spring,True,0.6497,value great value only downside is you can only use google music doesnt really have a app for music,True
ORD453986,ID0387266447,2019-02-09,Richmond,"[('Thunder line', 1), ('iStream', 2), ('Toshika 750', 1)]",6800,88.56,-37.8103235,144.95300790000005,25,5188.56,Summer,True,0.5841,"this is a great phone for the money this is a great phone for the money. only gave it a 4 star because of poor customer service and poor software personalization. somehow, the mike level was too low, and unable to adjust. had to wipe the phone and start from scratch. otherwise its a great phone.",True
ORD424952,ID2209383485,2019-09-21,Richmond,"[('Toshika 750', 1), ('iAssist Line', 2), ('iStream', 2), ('Lucent 330S', 2)]",11530,84.24,-37.7997486,144.9574922,10,10461.24,Spring,False,1.706,not bad for the price the charger was not original. it heated up on charging. the phone was in good condition. everything worked like a charm. the phone was previously locked to t mobile. every time i restart the phone i can see t mobile intro screen load up.,True
ORD376881,ID0587652977,2019-08-08,Clayton,"[('iAssist Line', 2), ('Olivia x460', 1)]",5675,67.47,-37.8253383,144.95852119999995,0,5742.47,Winter,False,1.2264,"great phone great phone, reasonably priced. can add memory card to increase internal space. long lasting battery.",True
ORD491277,ID3830161454,2019-11-04,Docklands,"[('Alcon 10', 2), ('Olivia x460', 1)]",19125,99.84,-37.8053404,144.9960208,5,18268.59,Spring,True,0.5229,"more details later :) granted, i've only had the phone for less than 24 hours. the phone is exactly as listed and the shipping was extremely fast. i upgraded my boost service to this phone from a kyocera hydro (the orginal) and it was very easy and quick!",True
ORD399080,ID6021320892,2019-11-25,Richmond,"[('Toshika 750', 1), ('Thunder line', 1), ('Lucent 330S', 1)]",7730,80.56,-37.817893700000006,144.93305149999995,10,7037.56,Spring,False,1.3628,five stars i am happy!! it's good,True
ORD280174,ID6167441011,2019-08-07,Richmond,"[('iStream', 2), ('iAssist Line', 2), ('Lucent 330S', 1), ('Olivia x460', 2)]",8430,66.98,-37.8070319,144.9597603,5,8075.48,Winter,False,1.2807,great overall this phone is awesome. would buy again.,True
ORD314080,ID6167357840,2019-11-27,Clayton,"[('Thunder line', 1), ('Lucent 330S', 2), ('Universe Note', 1), ('pearTV', 1)]",14400,105.05,-37.8077086,144.9713827,5,13785.05,Spring,True,1.2225,works great phone works great easy to use,True
ORD463084,ID0224750259,2019-11-07,Docklands,"[('iStream', 1), ('Thunder line', 2), ('pearTV', 2), ('Candle Inferno', 1)]",17560,81.84,-37.80376210000001,144.9798642,5,16763.84,Spring,False,1.5193,i truly love y phone it was in great condition and very ... i truly love y phone it was in great condition and very sleek and nice for a price that’s in my range. also it was sent before the delivery date😍.,True
ORD451014,ID4787333389,2019-01-31,Clayton,"[('Alcon 10', 1), ('Lucent 330S', 2)]",11410,66.85,-37.8163863,144.9671254,15,9765.35,Summer,False,0.3255,its is a verizon phone this phone is great quality,True
ORD271449,ID0703556746,2019-01-23,Richmond,"[('iAssist Line', 2), ('iStream', 1), ('Lucent 330S', 1)]",5830,93.98,-37.8064999,144.9560899,5,5632.48,Summer,True,1.0496,"i phone x working fine a gift for my grandson, he is happy with it..!",True
ORD183015,ID2397324975,2019-08-22,Richmond,"[('Lucent 330S', 1), ('Thunder line', 2)]",5590,77.13,-37.82015300000001,144.9428437,15,4828.63,Winter,True,0.9118,new in box came with charger so far so good,True
ORD428252,ID0373649829,2019-12-05,Richmond,"[('iStream', 2), ('Universe Note', 1), ('Alcon 10', 2)]",21650,80.28,-37.8091018,144.9293206,10,19565.28,Summer,False,1.6107,olivia universe a10 i like it works fine would buy again,True
ORD389647,ID0591435396,2019-09-10,Clayton,"[('Lucent 330S', 1), ('iStream', 1), ('pearTV', 1), ('Alcon 10', 1)]",16640,94.82,-37.8180175,144.96944430000005,15,14238.82,Spring,True,0.065,this tablet is so easy to set up and use. very intuitive! love love this device and all of my books can be transferred from my old version! awesome,True
ORD473204,ID6167441075,2019-07-19,Clayton,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('Universe Note', 1), ('Alcon 10', 2)]",24670,59.49,-37.8159152,144.964706,0,24729.49,Winter,True,0.5201,one star no place for extra memory and crashed after a couple of weeks. returned.,False
ORD028539,ID5884356170,2019-05-29,Richmond,"[('Olivia x460', 1), ('Alcon 10', 1), ('iStream', 1)]",10325,68.94,-37.8251392,144.9364483,0,10393.94,Autumn,False,1.6727,"fantastic buy! love this phone! bought two for myself and my partner and they're both in excellent condition with zero issues, thus far.",True
ORD166222,ID6167236645,2019-09-11,Richmond,"[('Lucent 330S', 2), ('Candle Inferno', 1), ('iStream', 1)]",3040,77.84,-37.8132911,144.95835630000005,0,3117.84,Spring,False,0.995,five stars great refurbished product!!,True
ORD406628,ID4969353897,2019-12-05,Richmond,"[('Olivia x460', 2), ('Universe Note', 1), ('Lucent 330S', 1), ('Toshika 750', 2)]",15770,76.21,-37.814791,144.93428559999995,25,11903.71,Summer,False,1.1486,five stars really good performance. amazing photos.,True
ORD007912,ID5002595126,2019-01-19,Richmond,"[('Thunder line', 2), ('Lucent 330S', 1), ('Universe Note', 2), ('iStream', 2)]",12790,91.08,-37.8119583,144.95350249999996,15,10962.58,Summer,True,0.5714,four stars great item and easy to adjust to.,True
